event_name,start_date,end_date,event_type,featured,organization_name,organization_url,acronym,tags,event_url,image_url,location,region,in_person,virtual,language,code_of_conduct_url,cfp_due_date,hash_tag,cfp_url,sponsors,price_range,price,paid_or_free
"csv, conf, v7",2023-04-19,2023-04-20,Conference,0,,,,,https://csvconf.com/,,"Buenos Aires, Argentina",Latin America,Yes,Unknown,,,2022-11-25,,https://docs.google.com/forms/d/e/1FAIpQLScx8_gwkE3pQGcp2nJpzDFN-mg0tAwu1HsQAp3NcWtkhbwNwA/viewform,,,,
PyCon US 2023,2023-04-19,2023-04-27,Conference,1,Python Software Foundation,https://www.python.org/psf/,,python,https://us.pycon.org/2023/,,"Salt Lake City, UT, USA",Canada / USA,Yes,Yes,"English,Spanish",,,,,,,,
PyCon DE & PyData Berlin 2023,2023-04-17,2023-04-19,Conference,1,"NumFOCUS, PSF",,,python,https://2023.pycon.de/,,"Berlin, Germany",Europe,Yes,Yes,English,https://2023.pycon.de/code-of-conduct/,,,,,,,
AI & Statistics 2023,2023-04-25,2023-04-27,Conference,0,Society for AI and Statistics,https://aistats.org/,AISTATS,"AI, statistics",https://aistats.org/aistats2023/,,"Valencia, Spain",Europe,Yes,Yes,English,https://aistats.org/aistats2023/code-of-conduct.html,2022-10-06,,https://aistats.org/aistats2023/call-for-papers.html,,,,
PyData Seattle 2023,2023-04-26,2023-04-28,Conference,0,NumFOCUS,https://numfocus.org,,python,https://pydata.org/seattle2023/,,"Seattle, WA, USA",Canada / USA,Yes,Unknown,English,https://pydata.org/seattle2023/conduct/,2023-02-06,,https://pydata.org/seattle2023/present/,,,,
ICLR 2023,2023-05-01,2023-05-05,Conference,0,Int'l Conf on Learning Representations,https://iclr.cc/,ICLR,"AI, ML, CV",https://iclr.cc,https://iclr.cc/static/core/img/ICLR-logo.svg,"Kigali, Rwanda",Africa,,,English,https://iclr.cc/public/CodeOfConduct,2022-09-28,,,,,,
ODSC East 2023,2023-05-09,2023-05-11,Conference,0,Open Data Science,https://odsc.com,,,https://odsc.com/boston/,,"Boston, MA, USA",Canada / USA,Yes,Unknown,English,https://odsc.com/code-of-conduct/,,,,,,,
JupyterCon 2023,2023-05-10,2023-05-12,Conference,0,NumFOCUS,https://numfocus.org,,"Jupyter, python",https://www.jupytercon.com/,https://images.squarespace-cdn.com/content/v1/635c4fa641614511e4698394/e271c199-f780-4882-95f1-3db1ec7972a9/LogoHoriz.png?format=1500w,"Paris, France",Europe,Yes,Yes,English,,2022-12-15,,https://cfp.jupytercon.com/2023/cfp,,,,
2023 Symposium on Data Science & Statistics,2023-05-23,2023-05-26,Conference,0,ASA,https://www.amstat.org,SDSS,"statistics, data-science",https://www.amstat.org/meetings/symposium-on-data-science-amp-statistics,,,,,,,,,,,,,,
R/Finance 2022,2022-06-03,2022-06-04,Conference,0,,,,rstats,https://www.rinfinance.com/,,"Chicago, IL, USA",Canada / USA,Yes,No,English,https://www.rinfinance.com/coc/,,,,,,,
COLT 2023 (Conf on Learning Theory),2023-07-19,2023-07-22,Conference,0,Association for Computational Learning,https://learningtheory.org/,ACL,,https://learningtheory.org/colt2023/,,"Bangalore, India",Asia,Yes,Unknown,English,https://learningtheory.org/colt2023/code-of-conduct.html,2023-02-10,COLT2023,,,,,
DataConnect Conference,2023-07-20,2023-07-21,Conference,0,WIA,https://www.womeninanalytics.com/,WIA-DCC,women-focused,https://www.dataconnectconf.com/,https://uploads-ssl.webflow.com/6164cdbceec2a908841609b5/61709899316ac23dda1364a8_columbus%20skyline.jpeg,"Columbus, Ohio, USA",Canada / USA,Yes,Unknown,English,Not found,,,,,$$,$ 75-899,paid
ProductCon 2022,2023-07-20,2023-07-20,Conference,0,Product Scool,https://productschool.com/productcon/,,product,https://productschool.com/productcon/online/,,,,,,,https://productschool.com/code-of-conduct/,,,,,,,
ICML 2023,2023-07-23,2023-07-29,Conference,0,Int'l Conf on Machine Learning,https://icml.cc/,ICML,"AI, ML, CV",https://icml.cc/Conferences/2023,,"Honolulu, HI, USA",Canada / USA,Yes,Yes,English,https://icml.cc/public/CodeOfConduct,2023-01-26,,,,,,
JuliaCon 2023,2023-07-24,2023-07-29,Conference,1,NumFOCUS,https://numfocus.org,,julialang,https://juliacon.org/2023/,https://juliacon.org/assets/2021/img/world_2800.png,"Cambridge, MA, USA",Canada / USA,Yes,No,English,https://juliacon.org/2023/coc/,,,,,,,
JSM 2023,2023-08-05,2023-08-10,Conference,0,ASA,https://www.amstat.org,JSM,statistics,https://ww2.amstat.org/meetings/jsm/2023/,https://ww2.amstat.org/meetings/jsm/2023/images/logo.png?v=2023,"Toronto, Ontario, Canada",Canada / USA,Yes,Unknown,English,https://www.amstat.org/meetings/code-of-conduct,2022-09-08,,,,,,
Regulatory-Industry Statistics Workshop (ASA Biopharmaceutical),2023-09-27,2023-09-29,Conference,0,ASA,https://www.amstat.org,JSM,statistics,https://www.amstat.org/meetings/asa-biopharmaceutical-section-regulatory-industry-statistics-workshop,https://ww2.amstat.org/meetings/biop/2023/images/logo.png?v=2023,"Rockville, MD, USA",Canada / USA,Yes,Unknown,English,,,,,,,,
All Things Open 2023,2023-10-15,2023-10-18,Conference,0,All Things Open,https://www.allthingsopen.org/,ATO,open source,https://2023.allthingsopen.org/,,"Raleigh, North Carolina, USA",Canada / USA,Yes,Yes,English,https://2023.allthingsopen.org/code-of-conduct//,,,https://www.allthingsopen.org/save-the-date-ato-2023-october-15-18-in-downtown-raleigh-nc/,,,,
